"English","Welsh"
"This option will be available as part of a future update","Bydd yr opsiwn hwn ar gael fel rhan o ddiweddariad yn y dyfodol"
"Send code","Anfon cod"
"Online Plea and Allocation Results","Canlyniadau Pledio a Dyrannu Ar-lein"
"Results published on","Cyhoeddwyd y canlyniadau ar"
"Allocation decisions made on","Penderfyniadau dyrannu a wnaed ar"
"Decision date","Dyddiad penderfynu"
"Allocation decision","Penderfyniad dyrannu"
"Bail status","Statws mechn'aeth"
"Next hearing date","Dyddiad y gwrandawiad nesaf"
"Next hearing location","Lleoliad y gwrandawiad nesaf"
"Reporting restrictions","Cyfyngiadau riportio"
"Select all","Dewiswch bopeth"
"Are you sure you want to remove these subscriptions?","A ydych yn siŵr eich bod am gael gwared ar y tanysgrifiadau hyn?"
"How to observe a court or tribunal hearing","Sut i arsylwi gwrandawiad llys neu dribiwnlys"
"Please provide the following details","Darparwch y manylion canlynol"
"New Password","Cyfrinair newydd"
"Confirm New Password","Cadarnhau'r cyfrinair newydd"
"Continue","Parhau"
"Cancel","Canslo"
"Password must contain the following","Rhaid i'r cyfrinair gynnwys y canlynol"
"8 - 16 Characters in length","Rhwng 8 â 16 o nodau"
"a lowercase character letter","llythyren fach"
"uppercase character letter","llythyren fawr"
"a digit (0-9) or any of the following symbols","digid (0-9) neu unrhyw un o'r symbolau canlynol"
"Any other person interested in joining the hearing should contact (Email Address) or call (Phone Number)","Dylai unrhyw berson arall sydd â diddordeb mewn ymuno 'r gwrandawiad gysylltu â (Email Address) neu ffonio (Phone Number)"
"IAC Daily Cause list â additional cases","Rhestr Achosion Dyddiol y Siambr Mewnfudo a Lloches  â achosion ychwanegol"
"IAC Daily list â additional cases","Rhestr Dyddiol y Siambr Mewnfudo a Lloches  â achosion ychwanegol"
"Birmingham Civil and Family Justice Centre","Canolfan Gyfiawnder Sifil a Theulu Birmingham"
"Coventry Magistrates Court","Llys Ynadon Coventry"
"Nottingham Magistrates Court/Nottingham Justice Centre","Llys Ynadon Nottingham/Canolfan Gyfiawnder Nottingham"
"Bradford Tribunal Hearing Centre","Canolfan Wrandawiadau Tribiwnlys Bradford"
"Bradford and Keighley Magistrates Court and Family Court","Llys Ynadon a Llys Teulu Bradford a Keighley"
"Leads Magistrates Court and Family Court","Llys Ynadon a Llys Teulu Leeds"
"Glasgow Tribunals Centre","Canolfan Wrandawiadau Glasgow"
"Alloa Shweriff Court","Llys Siryf Alloa"
"Belfast Laganside Court","Llys Belfast Laganside"
"Hatton Cross Tribunal Hearing Centre","Canolfan Wrandawiadau Tribiwnlys Hatton Cross"
"Harmondsworth Tribual Hearing Centre","Canolfan Wrandawiadau Tribiwnlys Harmondsworth"
"Manchester Tribunal Hearing Centre","Canolfan Wrandawiadau Tribiwnlys Manceinion"
"IAC National (Virtual)","IAC Cenedlaethol (Rhithiol)"
"Manchester Civil Justice Centre (Civil and Family Courts)","Canolfan Gyfiawnder Sifil Manceinion (Llysoedd Sifil a Theulu)"
"Manchester Magistrates Court","Llys Ynadon Manceinion"
"Manchester Crown Court (Minshull St)","Llys y Goron Manceinion (Minshull St)"
"Manchester Crown Court (Crown Square)","Llys y Goron Manceinion (Crown Square)"
"Newport (South Wales) Immigration and Asylum Tribunal","Tribiwnlys Mewnfudo a Lloches Casnewydd (De Cymru)"
"Cardiff Crown Court","Llys y Goron Caerdydd"
"Newcastle Civil and Family Courts and Tribunal Centre","Llysoedd Sifil a Theulu a Chanolfan Tribiwnlys Newcastle"
"North Tyneside Magistrates Court","Llys Ynadon Gogledd Tyneside"
"Taylor House Tribunal Hearing Centre","Canolfan Wrandawiadau Tribiwnlys Taylor House"
"Hendon Magistrates Court","Llys Ynadon Hendon"
"Yarl's Wood Immigration and Asylum Hearing Centre","Canolfan Wrandawiadau Mewnfudo a Lloches Yarl's Wood"
"Manchester","Manceinion"
"Newport","Casnewydd"
"Jurisdiction","Awdurdodaeth"
"Region","Rhanbarth"
"West Midlands","Gorllewin Canolbarth Lloegr"
"East Midlands","Dwyrain Canolbarth Lloegr"
"Northeast","Gogledd ddwyrain Lloegr"
"Scotland","Yr Alban"
"London","Llundain"
"Northwest","Gogledd orllewin Lloegr"
"Wales","Cymru"
"Southeast","De ddwyrain Lloegr"
"Immigration and Asylum Chamber","Siambr Mewnfudo a Lloches"
"Edit list type","Golygu'r math o restr"
"Please select a list type to continue","Dewiswch opsiwn"
"There is a problem","Mae problem"
"English and Welsh","Cymraeg a Saesneg"
"What version of the list do you want to receive?","Pa fersiwn o'r rhestr ydych chi am ei derbyn?"
"Your email subscriptions","Eich tanysgrifiadau e-bost"
"Select which list type to receive","Dewiswch pa fath o restr i'w derbyn"
"Choose the lists you will receive for your selected courts and tribunals","Dewiswch y rhestrau y byddwch yn eu derbyn ar gyfer y llysoedd a'r tribiwnlysoedd a ddewiswyd gennych"
"Dashboard","Dangosfwrdd"
"Chelmsford Magistrates' Court and Family Court","Llys Ynadon a Llys Teulu Chelmsford"
"Chelmsford County and Family Court","Llys Sirol a Theulu Chelmsford"
"Ipswich County Court and Family Hearing Centre","Canolfan Wrandawiadau Llys Teulu a Llys Sirol Ipswich"
"Ipswich Magistrates' Court","Llys Ynadon Ipswich"
"Southend County Court and Family Court","Llys Sirol a Llys Teulu Southend"
"Basildon Combined Court","Llysoedd Cyfun Basildon"
"Basildon Magistrates' Court and Family Court","Llys Ynadon a Llys Teulu Basildon"
"Kings Lynn Magistrates' Court and Family Court","Llys Ynadon a Llys Teulu Kings Lynn"
"Norwich Combined Court Centre","Canolfan Llysoedd Cyfun Norwich"
"Norwich Magistrates' Court","Llys Ynadon Norwich"
"Norwich Whitefriars Hearing Centre","Canolfan Wrandawiadau Norwich Whitefriars"
"Norwich SSCS Tribunal","Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant Norwich"
"Great Yarmouth Magistrates' Court and Family Court","Llys Ynadon a Llys Teulu Great Yarmouth"
"Bury St Edmunds County Court and Family Court","Llys Sirol a Llys Teulu Bury St Edmunds"
"Colchester Magistrates' Court and Family Court","Llys Ynadon a Llys Teulu Colchester"
"East Pallant House","East Pallant House"
"Brighton County Court","Llys Sirol Brighton"
"Brighton Family Centre / Hearing Centre","Canolfan Deulu / Canolfan Wrandawiadau Brighton"
"Brighton Tribunal Hearing Centre","Canolfan Wrandawiadau Tribiwnlys Brighton"
"Brighton Magistrates' Court","Llys Ynadon Brighton"
"Lewes Combined Court Centre","Canolfan Llysoedd Cyfun Lewes"
"Hastings Law Courts","Llysoedd Barn Hastings"
"Crawley Magistrates' Court","Llys Ynadon Crawley"
"Horsham Magistrates' and County Court","Llys Ynadon a Llys Sirol Horsham"
"Worthing Magistrates' and County Court","Llys Ynadon a Llys Sirol Worthing"
"Staines Magistrates and County Court","Llys Ynadon a Llys Sirol Staines"
"Guildford Magistrates and County Court","Llys Ynadon a Llys Sirol Guildford"
"Care Standards Tribunal","Tribiwnlys Safonau Gofal"
"CST weekly Hearing list","Rhestr Gwrandawiadau Wythnosol y CST"
"Care Standards Tribunal Weekly Hearing List","Rhestr Gwrandawiadau Wythnosol y Tribiwnlys Safonau Gofal"
"Primary Health Tribunal","Tribiwnlys Iechyd Sylfaenol"
"PHT Weekly Hearing list","Rhestr Gwrandawiadau Wythnosol y Tribiwnlys Iechyd Sylfaenol"
"Primary Health Tribunal Weekly Hearing List","Rhestr Gwrandawiadau Wythnosol y Tribiwnlys Iechyd Sylfaenol"
"National","Cenedlaethol"
"Case name","Enw'r Achos"
"Hearing length","Hyd y gwrandawiad"
"Hearing type","Math o wrandawiad"
"Venue","Lleoliad"
"Additional information","Gwybodaeth ychwanegol"
"Please contact the Care Standards Office at cst@justice.gov.uk for details of how to access video hearings","Cysylltwch 'r Swyddfa Safonau Gofal yn cst@justice.gov.uk i gael manylion am sut i gael mynediad at wrandawiadau fideo"
"Observe a court or tribunal hearing as a journalist, researcher or member of the public","Arsylwi gwrandawiad llys neu dribiwnlys fel newyddiadurwr, ymchwilydd neu aelod o'r cyhoedd"
"Please contact the Primary Health Lists at primaryhealthlists@justice.gov.uk for details of how to access video hearings","Cysylltwch 'r Rhestrau Iechyd Sylfaenol yn primaryhealthlists@justice.gov.uk i gael manylion am sut i gael mynediad at wrandawiadau fideo"
"Cardiff Social Security and Child Support","Caerdydd  Nawdd Cymdeithasol a Chynnal Plant"
"Manchester Tribunal Hearing Centre","Canolfan Wrandawiadau Tribiwnlys Manceinion"
"Lists are subject to change until 4:30pm. Any alterations after this time will be telephoned or emailed direct to the parties or their legal representatives","Mae rhestrau yn destun newid hyd at 4:30pm. Bydd unrhyw newidiadau a wneir ar 'l yr amser hwn yn cael eu rhannu'n uniongyrchol drwy alwad ff'n neu e-bost at y part'on neu eu cynrychiolwyr cyfreithiol"
"Details","Manylion"
"Courts and tribunals beginning with this letter","Llysoedd a thribiwnlysoedd sy'n cychwyn gyda'r llythyren hon"
"Mental Health Tribunal","Y Tribiwnlys Iechyd Meddwl"
"Mental Health Tribunal Daily Hearing List","Rhestr Wrandawiadau Dyddiol y Tribiwnlys Iechyd Meddwl"
"Aberdeen Tribunal Hearing Centre","Canolfan Gwrandawiadau Tribiwnlys Aberdeen"
"Bristol Magistrates Court","Llys Ynadon Bryste"
"Liverpool Civil & Family Court","Llys Sifil a Theulu Lerpwl"
"London Central Tribunals","Tribiwnlysoedd Canol Llundain"
"North Shields County Court & Family Court","Llys Sirol a Llys Teulu North Shields"
"St Catherines House (Court and Tribunal Service) Civil, Family & Tribunals","Gwasanaeth Llys a Thribiwnlys St Catherines House (Sifil, Teulu a Thribiwnlysoedd)"
"Wolverhampton Tribunals Service","Gwasanaeth Tribiwnlysoedd Wolverhampton"
"List for week commencing","Rhestr ar gyfer yr wythnos yn dechrau ar"
"Courts and tribunals beginning with this letter","Llysoedd a thribiwnlysoedd sy'n cychwyn gyda'r llythyren hon"
"Blackpool SSCS Tribunal","Tribiwnlys SSCS Blackpool"
"Blackpool SSCS Tribunal","Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant (SSCS) Blackpool"
"Case Type","Math o achos"
"Asylum Support Tribunal","Tribiwnlys Cefnogi Ceiswyr Lloches"
"AST Daily list","Rhestr ddyddiol y Tribiwnlys Cefnogi Ceiswyr Lloches"
"General Regulatory Chamber","Siambr Reoleiddio Gyffredinol"
"First-tier Tribunal (War Pensions and Armed Forces Compensation)","Siambr Tribiwnlys Haen Gyntaf (Iawndal Pensiynau Rhyfel a'r Lluoedd Arfog)"
"Upper Tribunal (Immigration and Asylum) Chamber Statutory Appeal","Siambr Uwch Dribiwnlys (Mewnfudo a Lloches) - Apeliadau Statudol"
"Special Immigration Appeals Commission","Comisiwn Apeliadau Mewnfudo Arbennig"
"Proscribed Organisations Appeal Commission","Comisiwn Apeliadau Sefydliadau Gwaharddedig"
"Pathogens Access Appeal Commission","Comisiwn Apeliadau Mynediad Pathogenau"
"First-tier Tribunal (Tax Chamber)","Tribiwnlys Haen Gyntaf (Siambr Treth)"
"First-tier Tribunal (Lands Registration Tribunal)","Tribiwnlys Haen Gyntaf (Tribiwnlys Cofrestru Tir)"
"First-tier Tribunal (Property Chamber) (Residential Property)","Tribiwnlys Haen Gyntaf (Siambr Eiddo) (Eiddo Preswyl)"
"SIAC Daily Weekly Hearing List","Rhestr o Wrandawiadau Dyddiol Wythnosol SIAC"
"POAC Daily Weekly Hearing List","Rhestr o Wrandawiadau Dyddiol Wythnosol POAC"
"PACC Daily Weekly Hearing List","Rhestr o Wrandawiadau Dyddiol Wythnosol PACC"
"FFT Tax Weekly Hearing List","Rhestr o Wrandawiadau Wythnosol Treth FFT"
"FFT (LR) Weekly Hearing List","Rhestr o Wrandawiadau Wythnosol FFT (LR)"
"RPT Eastern Weekly Hearing List","Rhestr o Wrandawiadau Wythnosol RPT Dwyrain Lloegr"
"RPT London Weekly Hearing List","Rhestr o Wrandawiadau Wythnosol RPT Llundain"
"RPT Midlands Weekly Hearing List","Rhestr o Wrandawiadau Wythnosol RPT Canolbarth Lloegr"
"RPT Northern Weekly Hearing List","Rhestr o Wrandawiadau Wythnosol RPT Gogledd Lloegr"
"RPT Southern Weekly Hearing List","Rhestr o Wrandawiadau Wythnosol RPT De Lloegr"
"Special Immigration Appeals Commission Weekly Hearing List","Rhestr o Wrandawiadau Wythnosol y Comisiwn Apeliadau Mewnfudo Arbennig"
"Proscribed Organisations Appeal Commission Weekly Hearing List","Rhestr o Wrandawiadau Wythnosol y Comisiwn Apeliadau Sefydliadau Gwaharddedig"
"Pathogens Access Appeal Commission Weekly Hearing List","Rhestr o Wrandawiadau Wythnosol y Comisiwn Apeliadau Mynediad Pathogenau"
"First-tier Tribunal (Tax Chamber) Weekly Hearing list","Rhestr o Wrandawiadau Wythnosol Tribiwnlys Haen Gyntaf (Siambr Treth)"
"First-tier Tribunal (Lands Registration Tribunal) Weekly Hearing list","Rhestr o Wrandawiadau Wythnosol Tribiwnlys Haen Gyntaf (Tribiwnlys Cofrestru Tir)"
"Residential Property Tribunal: Eastern region Weekly Hearing List","Tribiwnlys Eiddo Preswyl: Rhestr o Wrandawiadau Wythnosol rhanbarth Dwyrain Lloegr"
"Residential Property Tribunal: London region Weekly Hearing List","Tribiwnlys Eiddo Preswyl: Rhestr o Wrandawiadau Wythnosol rhanbarth Llundain"
"Residential Property Tribunal: Midlands region Weekly Hearing List","Tribiwnlys Eiddo Preswyl: Rhestr o Wrandawiadau Wythnosol rhanbarth Canolbarth Lloegr"
"Residential Property Tribunal: Northern region Weekly Hearing List","Tribiwnlys Eiddo Preswyl: Rhestr o Wrandawiadau Wythnosol rhanbarth Gogledd Lloegr"
"Residential Property Tribunal: Southern region Weekly Hearing List","Tribiwnlys Eiddo Preswyl: Rhestr o Wrandawiadau Wythnosol rhanbarth De Lloegr"
"Venue/Platform","Lleoliad/Platfform"
"Hearing Method","Math o wrandawiad"
"The tribunal sometimes uses reference numbers or initials to protect the anonymity of those involved in the appeal.","Weithiau bydd y tribiwnlys yn defnyddio cyfeirnodau neu flaenlythrennau i sicrhau bod y rhai sy'n ymwneud 'r ap'l yn aros yn ddienw"
"All hearings take place at Field House, 15-25 Bream's Buildings, London EC4A 1DZ","Cynhelir pob gwrandawiad yn Field House, 15-25 Bream's Buildings, Llundain EC4A 1DZ"
"Open justice is a fundamental principle of our justice system. You can attend a public hearing in person, or you can apply for permission to observe remotely","Mae cyfiawnder agored yn egwyddor sylfaenol yn ein system gyfiawnder. Gallwch fynychu gwrandawiad cyhoeddus wyneb yn wyneb, neu gallwch wneud cais am ganiat'd i arsylwi o bell"
"Members of the public and the media can ask to join any telephone or video hearing remotely. Contact the Tribunal before the hearing to ask for permission to attend by emailing taxappeals@justice.gov.uk","Gall aelodau'r cyhoedd a'r cyfryngau ofyn am gael ymuno ag unrhyw wrandawiad dros y ff'n neu drwy fideo o bell. Cysylltwch 'r Tribiwnlys cyn y gwrandawiad i ofyn am ganiat'd i fod yn bresennol drwy anfon e-bost at taxappeals@justice.gov.uk"
"The subject line for the email should contain the following wording: HEARING ACCESS REQUEST â [Appellant's name] v [Respondent's name, for example HMRC] â [case reference] â [hearing date]. You will be sent instructions on how to join the hearing","Dylai llinell bwnc yr e-bost gynnwys y geiriad canlynol: CAIS MYNEDIAD I WRANDAWIAD â [Enw'r apelydd] v [Enw'r atebydd, er enghraifft CThEF] â [cyfeirnod yr achos] â [dyddiad y gwrandawiad]. Anfonir cyfarwyddiadau atoch ar sut i ymuno 'r gwrandawiad."
"The judge may refuse a request and can also decide a hearing must be held in private, in such cases you will not be able to attend","Gall y barnwr wrthod cais a gall hefyd benderfynu bod yn rhaid cynnal gwrandawiad yn breifat, ac mewn achosion o'r fath ni fyddwch yn gallu bod yn bresennol."
"Find out what to expect coming to a court or tribunal","Gwybodaeth am beth i'w ddisgwyl wrth ddod i lys neu dribiwnlys"
"Members of the public wishing to observe a hearing or representatives of the media may, on their request, join any telephone or video hearing remotely while they are taking place by sending an email in advance to the tribunal at [insert office email] with the following details in the subject line [OBSERVER/MEDIA] REQUEST â [case reference] â [hearing date] (need to include any other information required by the tribunal) and appropriate arrangements will be made to allow access where reasonably practicable","Gall aelodau o'r cyhoedd sy'n dymuno arsylwi gwrandawiad neu gynrychiolwyr y cyfryngau ymuno ag unrhyw wrandawiad dros y ff'n neu drwy fideo o bell ar gais tra'u bod yn cael eu cynnal drwy anfon e-bost ymlaen llaw at y tribiwnlys yn [insert office email] gyda'r manylion canlynol yn y llinell bwnc CAIS [ARSYLLWR/CYFRYNGAU] â [cyfeirnod yr achos] â [dyddiad y gwrandawiad] (angen cynnwys unrhyw wybodaeth arall sy'n ofynnol gan y tribiwnlys) a gwneir trefniadau priodol i ganiat'u mynediad lle bo hynny'n rhesymol ymarferol."
"Members of the public wishing to observe a hearing or representatives of the media may, on their request, join any telephone or video hearing remotely while they are taking place by sending an email in advance to the tribunal at [insert office email] with the following details in the subject line [OBSERVER/MEDIA] REQUEST â [case reference] â [hearing date] and appropriate arrangements will be made to allow access where reasonably practicable","Gall aelodau o'r cyhoedd sy'n dymuno arsylwi gwrandawiad neu gynrychiolwyr y cyfryngau ymuno ag unrhyw wrandawiad dros y ff'n neu drwy fideo o bell ar gais tra'u bod yn cael eu cynnal drwy anfon e-bost ymlaen llaw at y tribiwnlys yn [insert office email] gyda'r manylion canlynol yn y llinell bwnc CAIS [ARSYLLWR/CYFRYNGAU] â [cyfeirnod yr achos] â [dyddiad y gwrandawiad] a gwneir trefniadau priodol i ganiat'u mynediad lle bo hynny'n rhesymol ymarferol."
"GRC Weekly Hearing List","Rhestr o Wrandawiadau Wythnosol GRC"
"WPAFCC Weekly Hearing list","Rhestr o Wrandawiadau Wythnosol WPAFCC"
"UTIAC Statutory Appeals Daily Hearing List","Rhestr o Wrandawiadau Dyddiol Apeliadau Statudol UTIAC"
"UTIAC Judicial Review Daily Hearing List","Rhestr o Wrandawiadau Dyddiol Adolygiadau Barnwrol UTIAC"
"General Regulatory Chamber Weekly Hearing list- date","Rhestr o Wrandawiadau Wythnosol y Siambr Rheoleiddio Cyffredinol - dyddiad"
"First-tier Tribunal (War Pensions and Armed Forces Compensation) Weekly Hearing list","Tribiwnlys Haen Gyntaf (Iawndal Pensiynau Rhyfel a'r Lluoedd Arfog) - Rhestr o Wrandawiadau Wythnosol"
"Upper Tribunal (Immigration and Asylum) Chamber Statutory Daily Hearing List","Uwch Dribiwnlys (Mewnfudo a Lloches) - Rhestr o Wrandawiadau Dyddiol Statudol Siambr"
"Upper Tribunal (Immigration and Asylum) Chamber Field House - Judicial Review Daily Hearing List","Uwch Dribiwnlys (Mewnfudo a Lloches) - Rhestr o Wrandawiadau Dyddiol Siambr Adolygiadau Barnwrol - Field House"
"Appeal reference number","Cyfeirnod yr apêl"
"Parties and representatives will be informed about arrangements for hearing cases remotely. Any other person interested in joining the hearing remotely should email GRC@justice.gov.uk so that arrangements can be made. If the case is to be heard in private or is subject to a reporting restriction, this will be notified","Bydd part'on a chynrychiolwyr yn cael gwybod ynghylch y trefniadau ar gyfer gwrando achosion o bell. Dylai unrhyw berson arall sydd â diddordeb mewn ymuno 'r gwrandawiad o bell anfon e-bost at GRC@justice.gov.uk fel y gellir gwneud trefniadau. Os yw'r achos yn cael ei wrando yn breifat neu os yw'n destun cyfyngiad adrodd, bydd hyn yn cael ei hysbysu"
"What to expect when joining a telephone or video hearing","Beth i'w ddisgwyl pan fyddwch yn ymuno â gwrandawiad dros y ff'n neu drwy fideo"
"Members of the public wishing to observe a hearing or representatives of the media may, on their request, join any telephone or video hearing remotely while they are taking place by sending an email in advance to the tribunal at armedforces.listing@justice.gov.uk with the following details in the subject line [OBSERVER/MEDIA] REQUEST â [case reference] â [hearing date] (need to include any other information required by the tribunal) and appropriate arrangements will be made to allow access where reasonably practicable","Gall aelodau o'r cyhoedd sy'n dymuno arsylwi gwrandawiad neu gynrychiolwyr y cyfryngau ymuno ag unrhyw wrandawiad dros y ff'n neu drwy fideo o bell ar gais tra'u bod yn cael eu cynnal drwy anfon e-bost ymlaen llaw at y tribiwnlys yn armedforces.listing@justice.gov.uk gyda'r manylion canlynol yn y llinell bwnc CAIS [ARSYLLWR/CYFRYNGAU] â [cyfeirnod yr achos] â [dyddiad y gwrandawiad] (angen cynnwys unrhyw wybodaeth arall sy'n ofynnol gan y tribiwnlys) a gwneir trefniadau priodol i ganiat'u mynediad lle bo hynny'n rhesymol ymarferol."
"We update this list by 5pm for the following day. If there are late changes to the list, we'll update no later than 9am on the day of the hearing","Rydym yn diweddaru'r rhestr hon erbyn 5pm ar gyfer y diwrnod canlynol. Os bydd newidiadau hwyr i'r rhestr, byddwn yn ei diweddaru dim hwyrach na 9am ar ddiwrnod y gwrandawiad"
"For details on attending a UTIAC remote hearing, please email uppertribunallistingteam@justice.gov.uk","I gael manylion am fynychu gwrandawiad UTIAC o bell, anfonwch e-bost at uppertribunallistingteam@justice.gov.uk"
"The following list is subject to change until 4:30pm. Any alterations after this time will be telephoned or emailed direct to the parties or their legal representatives. - Gall y rhestr ganlynol newid tan 4:30pm","Bydd unrhyw newidiadau ar 'l yr amser hwn yn cael eu cyfathrebu dros y ff'n neu drwy e-bost yn uniongyrchol at y part'on neu eu cynrychiolwyr cyfreithiol."
"Upper Tribunal (Tax and Chancery Chamber)","Uwch Dribiwnlys (Siambr Dreth a Siawnsri)"
"Upper Tribunal (Lands Chamber)","Uwch Dribiwnlys (Siambr Tiroedd)"
"Upper Tribunal (Administrative Appeals Chamber"," Uwch Dribiwnlys (Siambr Apeliadau Gweinyddol)"
"UT (T and CC) Daily Hearing List","Rhestr o Wrandawiadau Dyddiol UT (T a CC)"
"UT (LC) Daily Hearing List"," Rhestr o Wrandawiadau Dyddiol UT (LC)"
"UT (AAC) Daily Hearing List","Rhestr o Wrandawiadau Dyddiol UT (AAC)"
"Upper Tribunal Tax and Chancery Chamber Daily Hearing list"," Rhestr o Wrandawiadau Dyddiol Uwch Dribiwnlys (Siambr Treth a Siawnsri)"
"Upper Tribunal (Lands Chamber) Daily Hearing list","Rhestr o Wrandawiadau Dyddiol Uwch Dribiwnlys (Siambr Tiroedd)"
"Upper Tribunal (Administrative Appeals Chamber) Daily Hearing list","Rhestr o Wrandawiadau Dyddiol Uwch Dribiwnlys (Siambr Apeliadau Gweinyddol)"
"Mode of Hearing","Math o Wrandawiad"
"A representative of the media, or any other person, wishing to attend a remote hearing should contact'uttc@justice.gov.uk'and we will arrange for your attendance","Dylai cynrychiolydd o'r cyfryngau, neu unrhyw berson arall, sy'n dymuno mynychu gwrandawiad o bell gysylltu â uttc@justice.gov.uk a byddwn yn trefnu eich bod yn mynychu."
"If a representative of the media or a member of the public wishes to attend a Cloud Video Platform (CVP) hearing they should contact the Lands Chamber listing section'Lands@justice.gov.uk'who will provide further information","Os bydd cynrychiolydd o'r cyfryngau neu aelod o'r cyhoedd yn dymuno mynychu gwrandawiad Platfform Fideo'r Cwmwl (CVP) dylent gysylltu ag adran restru'r Siambr Tiroedd Lands@justice.gov.uk a fydd yn darparu rhagor o wybodaeth."
"England and Wales","Cymru a Lloegr"
"Remote hearings via'CVP'and BT Meet Me","Gwrandawiadau o bell trwy CVP a BT Meet Me"
"Hearings will be available to representatives of the media or any other member of the public, on their request, and therefore will be a hearing conducted in public in accordance with Rule 37 of the Tribunal Procedure (Upper Tribunal) Rules 2008","Bydd gwrandawiadau ar gael i gynrychiolwyr y cyfryngau neu unrhyw aelod arall o'r cyhoedd, ar eu cais, ac felly byddant yn wrandawiad a gynhelir yn gyhoeddus yn unol â Rheol 37 o Reolau Trefniadaeth y Tribiwnlysoedd (Uwch Dribiwnlys) 2008."
"Any media representative or any other member of the public wishing to witness the hearing will need to do so over the internet and provide an email address at which to be sent an appropriate link for access","Bydd angen i unrhyw gynrychiolydd o'r cyfryngau neu unrhyw aelod arall o'r cyhoedd sy'n dymuno gwylio'r gwrandawiad wneud hynny dros y rhyngrwyd a darparu cyfeiriad e-bost er mwyn anfon dolen briodol i gael mynediad."
"Please contact'adminappeals@justice.gov.uk","Cysylltwch â adminappeals@justice.gov.uk"
"Remote hearings","Gwrandawiadau o bell"
"When hearings are listed for Scotland the hearing will be available to representatives of the media or any other member of the public, on their request, and therefore will be a hearing conducted in public in accordance with Rule 37 of the Tribunal Procedure (Upper Tribunal) Rules 2008. It will be organised and conducted using Cloud Video Platform (CVP). Any media representative or any other member of the public wishing to witness the hearing will need to do so over the internet and provide an email address at which to be sent an appropriate link for access. Please contact'UTAACMailbox@justice.gov.uk.","Pan gaiff gwrandawiadau eu rhestru ar gyfer yr Alban, bydd y gwrandawiad ar gael i gynrychiolwyr y cyfryngau neu unrhyw aelod arall o'r cyhoedd, ar eu cais, ac felly byddant yn wrandawiad a gynhelir yn gyhoeddus yn unol â Rheol 37 o Reolau Trefniadaeth y Tribiwnlysoedd (Uwch Dribiwnlys) 2008. Bydd yn cael ei drefnu a'i gynnal gan ddefnyddio Platfform Fideo'r Cwmwl (CVP). Bydd angen i unrhyw gynrychiolydd o'r cyfryngau neu unrhyw aelod arall o'r cyhoedd sy'n dymuno gwylio'r gwrandawiad wneud hynny dros y rhyngrwyd a darparu cyfeiriad e-bost er mwyn anfon dolen briodol i gael mynediad. Cysylltwch â UTAACMailbox@justice.gov.uk"
"Daily Hearing List","Rhestr o Wrandawiadau Dyddiol"
"Manual upload","Lanlwytho â llaw"
"manually upload a excel file, max size 2MB","Lanlwytho ffeil excel â llaw, maint ffeil mwyaf 2MB"
"First-tier Tribunal (Residential Property Tribunal): Southern region Weekly Hearing List","Tribiwnlys Haen Gyntaf (Tribiwnlys Eiddo Preswyl): Rhestr o Wrandawiadau Wythnosol rhanbarth De Lloegr"
"First-tier Tribunal (Residential Property Tribunal): Northern region Weekly Hearing List","Tribiwnlys Haen Gyntaf (Tribiwnlys Eiddo Preswyl): Rhestr o Wrandawiadau Wythnosol rhanbarth Gogledd Lloegr"
"First-tier Tribunal (Residential Property Tribunal): Midlands region Weekly Hearing List","Tribiwnlys Haen Gyntaf (Tribiwnlys Eiddo Preswyl): Rhestr o Wrandawiadau Wythnosol rhanbarth Canolbarth Lloegr"
"First-tier Tribunal (Residential Property Tribunal): London region Weekly Hearing List","Tribiwnlys Haen Gyntaf (Tribiwnlys Eiddo Preswyl): Rhestr o Wrandawiadau Wythnosol rhanbarth Llundain"
"(Residential Property Tribunal): Eastern region Weekly Hearing List","(Tribiwnlys Eiddo Preswyl): Rhestr o Wrandawiadau Wythnosol rhanbarth Dwyrain Lloegr"
"Wales and South West","Cymru a De Orllewin Lloegr"
"London First-tier Tribunal (Social Security and Child Support) Daily Hearing List DATE","Rhestr o Wrandawiadau Dyddiol Tribiwnlys Haen Gyntaf Llundain (Nawdd Cymdeithasol a Chynnal Plant) DATE"
"North West First-tier Tribunal (Social Security and Child Support) Daily Hearing List DATE","Rhestr o Wrandawiadau Dyddiol Nawdd Cymdeithasol a Chynnal Plant Gogledd Orllewin Lloegr (Nawdd Cymdeithasol a Chynnal Plant) DATE"
"North East First-tier Tribunal (Social Security and Child Support) Daily Hearing List DATE","Rhestr o Wrandawiadau Dyddiol Tribiwnlys Haen Gyntaf Gogledd Ddwyrain Lloegr (Nawdd Cymdeithasol a Chymorth Plant) DATE"
"Scotland First-tier Tribunal (Social Security and Child Support) Daily Hearing List DATE","Rhestr o Wrandawiadau Dyddiol Tribiwnlys Haen Gyntaf  Yr Alban (Nawdd Cymdeithasol a Chynnal Plant) DATE"
